0,1,Cuentas de vueltas,Muestreo (s),Torque de referencia (N-m),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de control difuso (V),Voltaje de excitacion (V)
Fecha,14_07_2022,,,,,,,,,
Hora de inicio,16_49_03,,,,,,,,,
Hora de finalización,16_50_28,,,,,,,,,
Voltage de salida analoga,0.0,,,,,,,,,
Voltaje offset celda 1,-0.01005562513787282,,,,,,,,,
Voltaje offset celda 2,-0.0434787874648382,,,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,,,
,,0,27.742992639541626,0.0,0.0,-0.45139222842736987,2.7340436950896476e-06,4.398075027275683e-06,{'V': 0.00559106016642456},-0.014548552116053954
,,0,27.992863655090332,0.0,0.0,-0.452416059941851,2.7088896747106022e-06,4.9829060010906506e-06,{'V': 0.005904057953814677},-0.01487115242741611
,,0,28.243278980255127,0.0,0.0,-0.45431204422792876,2.5202345218672086e-06,4.743942807488646e-06,{'V': 0.0063308575743789616},-0.013112886402915507
,,0,28.492809772491455,0.0,0.0,-0.45287109617051047,2.4762149862037064e-06,5.485986408672663e-06,{'V': 0.006454927424221293},-0.014101439403815107
,,0,28.743377208709717,0.0,0.0,-0.4496479228841801,3.0924884854923765e-06,5.2533117201659925e-06,{'V': 0.006636087843822107},-0.014384422133080218
,,0,28.992753505706787,0.0,0.0,-0.45302277491339604,3.1679505466295983e-06,5.297331255829443e-06,{'V': 0.006449375426791971},-0.01500509758593502
,,0,29.242439031600952,0.0,0.0,-0.4474106614266099,3.4509332758947408e-06,6.026797846823903e-06,{'V': 0.007608021388631858},-0.014286321453601562
,,0,29.492124557495117,0.0,0.0,-0.4485861716839765,3.6773194593067715e-06,5.404235842440541e-06,{'V': 0.007741430140339518},-0.01345812533261904
,,0,29.742080450057983,0.0,0.0,-0.4483207338839261,3.3440286892832786e-06,5.6683530564215215e-06,{'V': 0.007231835804924376},-0.014276888695959389
,,0,29.992074251174927,0.0,0.0,-0.44854825199825593,2.746620705279309e-06,5.542582954525949e-06,{'V': 0.007101473643592479},-0.013367570859254253
,,0,30.241961002349854,0.0,0.0,-0.4483586535696483,3.3062976587146415e-06,5.932470270402016e-06,{'V': 0.009102825605932788},-0.011686653447419253
,,0,30.491912841796875,0.0,0.0,-0.4531365339705605,3.564126367600687e-06,6.089682897771689e-06,{'V': 0.0072634692841669546},-0.01522771066629025
,,0,30.74189853668213,0.0,0.0,-0.44725898268372416,3.809378066296932e-06,6.297203565899592e-06,{'V': 0.009367702582643},-0.012431841301150843
,,0,30.99165439605713,0.0,0.0,-0.45389492768499046,3.507529821747835e-06,6.322357586278498e-06,{'V': 0.009236966896798118},-0.012258278560534828
,,0,31.241519451141357,0.0,0.0,-0.45177142528458686,3.8093780662972444e-06,5.731238107369099e-06,{'V': 0.009015252003271882},-0.012182816499397496
,,0,31.491470336914062,0.0,0.0,-0.4543878835993726,3.859686107055682e-06,5.555159964715367e-06,{'V': 0.007462903403014161},-0.014461770745745933
,,0,31.741429328918457,0.0,0.0,-0.454691241085144,4.086072290467434e-06,5.857008209264672e-06,{'V': 0.008095876179341146},-0.014103325955343441
