,Velocidad longitudinal (km/h)
368,0.517144730225495
369,0.47423533904592147
370,0.47423533904592147
371,0.47423533904592147
372,0.41061010411337906
373,0.41061010411337906
374,0.41061010411337906
375,0.41061010411337906
376,0.3720151932381257
377,0.37152226743494127
378,0.3643288931720897
379,0.3642155779205497
380,0.34763569206857914
381,0.34763569206857914
382,0.34763569206857914
383,0.34763569206857914
384,0.332010182976366
385,0.332010182976366
386,0.31870899830409555
387,0.31870899830409555
388,0.3019069552030891
389,0.3019069552030891
390,0.2856275028774365
391,0.2856275028774365
392,0.27409904487246944
393,0.2641364919885172
394,0.2620208999297575
395,0.2620208999297575
396,0.24860860805692145
397,0.24860860805692145
398,0.24860860805692145
399,0.24860860805692145
400,0.21385909005698123
401,0.21385909005698123
402,0.20102510887946312
403,0.20105444038866685
404,0.19649339530885002
405,0.18670017889653992
406,0.18670017889653992
407,0.18670017889653992
408,0.18670017889653992
409,0.18670017889653992
410,0.18670017889653992
411,0.18670017889653992
412,0.16722339070835754
413,0.16722339070835754
414,0.16722339070835754
415,0.16722339070835754
416,0.15848752127533575
417,0.1521697473218642
418,0.1535352519781695
419,0.1535352519781695
420,0.14704314468889734
421,0.14704314468889734
422,0.1438658375014722
423,0.1438658375014722
424,0.1398496907397367
425,0.14143694001214815
426,0.14143694001214815
427,0.14143694001214815
428,0.14143694001214815
429,0.14143694001214815
430,0.14143694001214815
431,0.14143694001214815
432,0.14143694001214815
433,0.14143694001214815
434,0.13254406059873072
435,0.13254406059873072
436,0.13889376659879307
437,0.13889376659879307
438,0.1328175590801156
439,0.1328175590801156
440,0.12969296665586766
441,0.12969296665586766
442,0.12970945378036253
443,0.12970945378036253
444,0.12970945378036253
445,0.12970945378036253
446,0.12970945378036253
447,0.12970945378036253
448,0.1256544404308897
449,0.1256544404308897
450,0.12616754574770803
451,0.12616754574770803
452,0.12968497214403835
453,0.12968497214403835
454,0.12968497214403835
455,0.12968497214403835
456,0.12511281948705336
457,0.12511281948705336
458,0.12715544502694331
459,0.12715544502694331
460,0.12715544502694331
461,0.12715544502694331
462,0.13097569850930363
463,0.13097569850930363
464,0.1262999857482177
465,0.12496771423051638
466,0.12496771423051638
467,0.12496771423051638
468,0.12496771423051638
469,0.12496771423051638
470,0.12496771423051638
471,0.12496771423051638
472,0.12496771423051638
473,0.11516511971947063
474,0.11516511971947063
475,0.11516511971947063
476,0.12216683674385616
477,0.12216683674385616
478,0.12216683674385616
479,0.12588835053331981
480,0.12352302457436831
481,0.12569775176987055
482,0.12569775176987055
483,0.12565805027931956
484,0.12396394959826024
485,0.12396394959826024
486,0.12396394959826024
487,0.12396394959826024
488,0.12396394959826024
489,0.12396394959826024
490,0.12978287098072688
491,0.12992209973672686
492,0.12992209973672686
493,0.12992209973672686
494,0.12992209973672686
495,0.12568744090003584
496,0.128869943741743
497,0.13236353576419754
498,0.13236353576419754
499,0.1324496704412661
500,0.1324496704412661
501,0.1324496704412661
502,0.13521582747592828
503,0.13521582747592828
504,0.13521582747592828
505,0.13521582747592828
506,0.13521582747592828
507,0.13521582747592828
508,0.13521582747592828
509,0.13521582747592828
510,0.13521582747592828
511,0.13521582747592828
512,0.1286016547327444
513,0.1286016547327444
514,0.1286016547327444
515,0.1286016547327444
516,0.1286016547327444
517,0.1286016547327444
518,0.1286016547327444
519,0.1286016547327444
520,0.12445382758276259
521,0.12445382758276259
522,0.12445382758276259
523,0.12445382758276259
524,0.12445382758276259
525,0.12445382758276259
526,0.12445382758276259
527,0.12445382758276259
528,0.1269534780933551
529,0.1269534780933551
530,0.12467647733233402
531,0.12467647733233402
532,0.12467647733233402
533,0.12467647733233402
534,0.1282014539699141
